Episode,Mean Reward,Standard Deviation,Moving Average
1,4.8841,0.9202,4.8841
2,5.1284,0.9675,5.0063
3,4.9339,0.6084,4.9821
4,4.8501,0.6593,4.9491
5,4.8561,0.6912,4.9421
6,4.8948,0.512,4.8837
7,5.0238,0.5013,4.9062
8,4.9422,0.8332,4.9292
9,5.0326,0.8212,4.9734
10,5.0069,0.9604,5.0014
11,4.7908,0.9372,4.9431
12,4.729,0.7902,4.8898
13,4.6702,0.68,4.7992
14,4.5837,0.9616,4.6934
15,4.6555,0.9301,4.6596
16,4.6078,0.6892,4.6293
17,4.4739,0.6006,4.5802
18,4.4718,0.6358,4.5522
19,4.5454,0.7228,4.5247
20,4.3929,0.9278,4.471
21,4.4669,0.9385,4.4693
22,4.5275,0.6213,4.4832
23,4.8708,0.714,4.5645
24,4.9437,0.8602,4.7022
25,5.0228,0.7341,4.8412
26,5.0514,0.6526,4.9722
27,5.1707,0.6702,5.0472
28,5.1805,0.5735,5.1064
29,5.2998,0.7704,5.1756
30,5.2333,0.7332,5.2211
31,5.0298,0.5461,5.1859
32,5.2182,0.5836,5.1953
33,5.2193,0.4606,5.1751
34,5.1405,0.6633,5.1519
35,5.089,0.4115,5.1668
36,5.3126,0.3546,5.1904
37,5.3205,0.3715,5.2157
38,5.0559,0.4203,5.1945
39,4.9316,0.5209,5.1552
40,4.9292,0.5445,5.0593
41,5.1738,0.4478,5.0226
42,5.2825,0.461,5.0793
43,5.1355,0.6551,5.1302
44,5.0954,0.6009,5.1718
45,5.0238,0.5062,5.1343
46,5.1523,0.5547,5.1017
47,5.0538,0.6579,5.0813
48,5.0018,0.7138,5.0579
49,5.1641,0.6641,5.093
50,5.3553,0.879,5.1437
51,5.3724,1.0234,5.2234
52,5.3302,0.8894,5.3055
53,5.2161,0.8354,5.3185
54,5.3199,0.7787,5.3097
55,5.2954,0.7534,5.2904
56,5.3698,0.8875,5.3003
57,5.1598,0.9566,5.2862
58,5.3376,0.6024,5.2906
59,5.4929,0.6816,5.34
60,5.5173,0.5714,5.3769
61,5.517,0.482,5.4662
62,5.6766,0.5295,5.5509
63,5.9629,0.5771,5.6685
64,5.8045,0.782,5.7403
65,5.7954,0.7458,5.8099
66,5.7232,0.5495,5.8215
67,5.7181,0.5159,5.7603
68,5.6543,0.5112,5.7227
69,5.5914,0.5437,5.6717
70,5.531,0.4924,5.6237
71,5.8685,0.4988,5.6613
72,5.8571,0.5488,5.712
73,5.9031,0.7143,5.7899
74,5.9599,0.6064,5.8971
75,5.9401,0.6984,5.9151
76,5.7946,0.6461,5.8994
77,5.961,0.7532,5.9139
78,6.0538,0.7628,5.9374
79,6.0342,0.8029,5.9609
80,6.0692,0.6174,6.0295
81,6.2495,0.5703,6.1017
82,6.1954,0.4511,6.1371
83,6.2571,0.4739,6.1928
84,6.1888,0.3842,6.2227
85,6.0002,0.6059,6.1604
86,6.0001,0.6009,6.1116
87,6.2422,0.5333,6.1078
88,6.3964,0.5002,6.1597
89,6.5457,0.5472,6.2961
90,6.3193,0.5906,6.3759
91,6.3927,0.4483,6.4135
92,6.3575,0.5676,6.4038
93,6.2377,0.6053,6.3268
94,6.1976,0.8454,6.2964
95,6.2594,0.7235,6.2631
96,6.316,0.7443,6.2527
97,6.3876,0.673,6.2901
98,6.3781,0.5531,6.3353
99,6.3498,0.7162,6.3578
100,6.3581,0.5707,6.3684
101,6.5608,0.5402,6.4117
102,6.5913,0.5252,6.465
103,6.6759,0.7199,6.5465
104,6.8209,0.5533,6.6622
105,6.8031,0.5494,6.7228
106,6.7826,0.5817,6.7706
107,6.7902,0.5711,6.7992
108,6.8997,0.445,6.8189
109,6.9964,0.3222,6.8672
110,7.0509,0.4022,6.9343
111,7.1335,0.2835,7.0201
112,7.055,0.2814,7.0589
113,7.1468,0.5533,7.0965
114,7.2878,0.6267,7.1558
115,7.4193,0.749,7.2272
116,7.621,0.5751,7.3687
117,7.6949,0.4379,7.5058
118,7.6581,0.4524,7.5983
119,7.7069,0.4105,7.6702
120,7.9223,0.4479,7.7455
121,8.0498,0.3595,7.8343
122,8.1089,0.5393,7.947
123,8.1067,0.7255,8.0469
124,8.1469,0.6266,8.1031
125,8.263,0.7251,8.1564
126,8.2741,0.577,8.1977
127,8.2132,0.5258,8.2243
128,7.9426,0.4099,8.1732
129,7.9512,0.4816,8.0953
130,7.8809,0.4094,7.997
131,8.0608,0.3208,7.9589
132,8.1473,0.4423,8.0101
133,8.1247,0.5349,8.0534
134,8.1393,0.5765,8.118
135,8.1158,0.5246,8.1318
136,8.1506,0.5963,8.1326
137,8.356,0.4269,8.1904
138,8.4401,0.4281,8.2656
139,8.5376,0.6127,8.3711
140,8.6934,0.5299,8.5068
141,8.6731,0.478,8.5861
142,8.8273,0.5108,8.6829
143,8.7046,0.4882,8.7246
144,8.6463,0.4778,8.7128
145,8.6731,0.5725,8.7128
146,8.7992,0.5153,8.7058
147,8.8198,0.4267,8.7346
148,8.9291,0.4108,8.8053
149,8.9391,0.3405,8.8718
150,8.9338,0.2632,8.9054
151,8.9458,0.4195,8.9369
152,8.9105,0.3968,8.9323
153,8.8642,0.4617,8.9136
154,8.9358,0.3559,8.9141
155,8.849,0.4478,8.8899
156,9.0189,0.3778,8.917
157,9.2652,0.304,9.0172
158,9.2916,0.2107,9.1062
159,9.3584,0.47,9.2335
160,9.5261,0.4625,9.3603
161,9.5424,0.2141,9.4296
162,9.5073,0.3042,9.4835
163,9.4901,0.4255,9.5165
164,9.437,0.3612,9.4942
165,9.3946,0.3989,9.4573
166,9.4927,0.5535,9.4536
167,9.6558,0.5605,9.495
168,9.6794,0.5858,9.5556
169,9.6768,0.5695,9.6262
170,9.603,0.5365,9.6537
171,9.7676,0.5405,9.6817
172,9.7849,0.6631,9.7081
173,9.8173,0.5241,9.7432
174,9.652,0.5235,9.7555
175,9.6706,0.4608,9.7312
176,9.5098,0.4794,9.6624
177,9.4726,0.3847,9.5762
178,9.4448,0.4618,9.5244
179,9.5186,0.4292,9.4864
180,9.605,0.4749,9.5103
181,9.5455,0.4268,9.5285
182,9.5117,0.4227,9.5452
183,9.6283,0.4458,9.5726
184,9.7118,0.5288,9.5993
185,9.7816,0.5079,9.6583
186,9.9566,0.5996,9.7696
187,9.8481,0.4693,9.8245
188,9.8997,0.4571,9.8715
189,9.7895,0.4522,9.8735
190,9.7368,0.4794,9.8185
191,9.8398,0.4432,9.8164
192,9.9206,0.4487,9.8216
193,10.111,0.3907,9.902
194,10.1428,0.3822,10.0035
195,10.0784,0.4012,10.0632
196,10.2036,0.4315,10.134
197,10.2625,0.4312,10.1718
198,10.2361,0.4213,10.1952
199,10.1729,0.421,10.2188
200,10.1959,0.524,10.2169
201,10.1168,0.5817,10.1804
202,10.1007,0.6321,10.1466
203,10.0856,0.5482,10.1248
204,10.1159,0.6031,10.1048
205,9.94,0.6307,10.0605
206,9.9749,0.6565,10.0291
207,9.944,0.5005,9.9937
208,10.0246,0.4787,9.9708
209,9.9402,0.4909,9.9709
210,9.9719,0.5105,9.9702
211,10.0787,0.4644,10.0038
212,10.1476,0.6013,10.0346
213,10.3148,0.5438,10.1283
214,10.4207,0.435,10.2405
215,10.4184,0.3837,10.3254
216,10.3486,0.373,10.3756
217,10.2602,0.3029,10.362
218,10.303,0.2965,10.3326
219,10.3613,0.265,10.3183
220,10.3994,0.4061,10.331
221,10.3829,0.4113,10.3617
222,10.2766,0.3686,10.3551
223,10.3725,0.4045,10.3579
224,10.2679,0.3739,10.325
225,10.2341,0.2959,10.2878
226,10.223,0.3129,10.2744
227,10.263,0.4113,10.247
228,10.3255,0.4066,10.2614
229,10.2971,0.5004,10.2771
230,10.2891,0.4729,10.2937
231,10.347,0.3895,10.3147
232,10.2835,0.399,10.3042
233,10.4286,0.3923,10.3371
234,10.477,0.4051,10.384
235,10.5808,0.5313,10.4425
236,10.7124,0.5815,10.5497
237,10.8515,0.4533,10.6554
238,10.807,0.4651,10.7379
239,10.7435,0.5376,10.7786
240,10.8553,0.555,10.8143
241,10.863,0.3993,10.8172
242,10.8174,0.3858,10.8198
243,10.6889,0.3779,10.8062
244,10.7207,0.5614,10.7725
245,10.747,0.4836,10.7435
246,10.6375,0.3933,10.6985
247,10.6135,0.442,10.6797
248,10.5874,0.4135,10.6464
249,10.6607,0.4269,10.6248
250,10.6132,0.3942,10.6187
251,10.6021,0.3519,10.6158
252,10.625,0.3012,10.6252
253,10.6608,0.3196,10.6252
254,10.7567,0.3672,10.6611
255,10.771,0.3652,10.7034
256,10.6382,0.4032,10.7067
257,10.5289,0.3832,10.6737
258,10.5203,0.3648,10.6146
259,10.5073,0.404,10.5487
260,10.4847,0.4387,10.5103
261,10.5793,0.3874,10.5229
262,10.5853,0.326,10.5392
263,10.6527,0.3683,10.5755
264,10.6499,0.3494,10.6168
265,10.6704,0.3308,10.6396
266,10.6344,0.3117,10.6519
267,10.7431,0.3332,10.6745
268,10.7048,0.3456,10.6882
269,10.6931,0.3356,10.6939
270,10.651,0.3133,10.698
271,10.5923,0.3814,10.6603
272,10.6788,0.3041,10.6538
273,10.683,0.4025,10.6513
274,10.6785,0.2773,10.6582
275,10.649,0.2474,10.6723
276,10.6604,0.2352,10.6677
277,10.6764,0.2546,10.6661
278,10.6756,0.3938,10.6653
279,10.706,0.3535,10.6796
280,10.6863,0.3735,10.6861
281,10.7795,0.3217,10.7118
282,10.7781,0.3026,10.7375
283,10.7052,0.3138,10.7373
284,10.705,0.3118,10.7419
285,10.7395,0.2891,10.732
286,10.7628,0.2833,10.7281
287,10.7474,0.2446,10.7387
288,10.7524,0.2091,10.7505
